"Run ID","User ID","User Name","Hours","Minutes","Seconds","Platform ID","Platform Name","Verified","URL","Date"
"8yv634zo","qjn2k4jm","Super Mario Bros.","0","4.0","58.092","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/8yv634zo","2014-03-25"
"0znkr8zn","qjn2k4jm","Super Mario Bros.","0","19.0","12.33","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/0znkr8zn","2013-11-11"
"8yv688zo","kj96k7j4","Super Mario Bros.","0","4.0","57.693","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/8yv688zo","2014-06-25"
"emk7ply6","dx35k6jl","Super Mario Bros.","0","5.0","11.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/emk7ply6","2013-07-09"
"8m78n9z0","dx35k6jl","Super Mario Bros.","0","21.0","3.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/8m78n9z0","2014-04-11"
"oy2v4jzd","v8l0g78m","Super Mario Bros.","0","5.0","26.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/oy2v4jzd","2014-03-25"
"7z064jz5","v8l0g78m","Super Mario Bros.","0","21.0","42.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/7z064jz5","2014-05-09"
"kz5r5eyr","o86v9pjz","Super Mario Bros.","0","19.0","43.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/kz5r5eyr","2013-11-05"
"emkg95y6","e8e937j0","Super Mario Bros.","0","5.0","5.9","nzelreqp","WiiVC","verified","https://www.speedrun.com/api/v1/runs/emkg95y6","2014-08-28"
"dy4q8nml","e8e937j0","Super Mario Bros.","0","5.0","3.0","nzelreqp","WiiVC","verified","https://www.speedrun.com/api/v1/runs/dy4q8nml","2014-10-05"
"0znqw9zn","o86v9pjz","Super Mario Bros.","0","4.0","59.099","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/0znqw9zn","2014-10-24"
